#node1,node2,combined_score
DNMT3A,WT1,0.676
DNMT3A,JAK2,0.695
DNMT3A,GATA2,0.731
DNMT3A,NRAS,0.732
DNMT3A,KMT2A,0.746
DNMT3A,RUNX1,0.777
DNMT3A,IDH2,0.793
DNMT3A,NPM1,0.794
DNMT3A,IDH1,0.797
DNMT3A,TP53,0.835
DNMT3A,TET1,0.886
DNMT3A,TRDMT1,0.926
DNMT3A,DNMT3B,0.998
DNMT3A,EZH2,0.999
DNMT3B,TCF3,0.524
DNMT3B,EP300,0.496
DNMT3B,HDAC4,0.702
DNMT3B,STAT3,0.689
DNMT3B,TP53,0.591
DNMT3B,TERT,0.478
DNMT3B,EZH2,0.999
DNMT3B,RELA,0.404
DNMT3B,IL6,0.405
DNMT3B,IDH2,0.416
DNMT3B,GSTP1,0.455
DNMT3B,IDH1,0.466
DNMT3B,MTHFR,0.475
DNMT3B,PTEN,0.482
DNMT3B,NSD1,0.486
DNMT3B,PRMT1,0.491
DNMT3B,TET1,0.831
DNMT3B,TRDMT1,0.933
ENO2,TP53,0.578
ENO2,THY1,0.61
ENO2,KIT,0.584
ENO2,TAC1,0.547
ENO2,IDH2,0.505
ENO2,RPL5,0.488
ENO2,HSPA1B,0.625
ENO2,HSPA1A,0.606
ENO2,WT1,0.519
ENO2,IL6,0.511
ENO2,IDH1,0.707
ENO2,TNF,0.434
ENO2,MME,0.613
ENO2,NCAM1,0.794
EP300,TNFRSF1A,0.53
EP300,NFKB1,0.998
EP300,NR3C1,0.914
EP300,SOX4,0.455
EP300,KRAS,0.757
EP300,MDM2,0.999
EP300,SRSF1,0.55
EP300,YY1,0.999
EP300,XRCC1,0.555
EP300,TCF3,0.941
EP300,TERT,0.401
EP300,KMT5A,0.407
EP300,IKZF1,0.437
EP300,JAK2,0.456
EP300,JAK1,0.456
EP300,HMGB1,0.456
EP300,IL6,0.48
EP300,TET1,0.523
EP300,RAD51,0.533
EP300,HSPA1A,0.583
EP300,LEP,0.595
EP300,PTEN,0.596
EP300,NRAS,0.596
EP300,HSPA1B,0.604
EP300,NQO1,0.61
EP300,TNF,0.638
EP300,MTOR,0.638
EP300,NSD1,0.649
EP300,PLK1,0.654
EP300,PBX1,0.68
EP300,PTGS2,0.692
EP300,PAX5,0.694
EP300,NUP98,0.709
EP300,IRF4,0.715
EP300,FBXW7,0.755
EP300,GATA2,0.766
EP300,NPM1,0.788
EP300,RB1,0.808
EP300,KMT2A,0.831
EP300,HDAC4,0.887
EP300,STAT5B,0.907
EP300,NOTCH1,0.94
EP300,STAT5A,0.946
EP300,EZH2,0.963
EP300,RUNX1,0.989
EP300,FOXO3,0.991
EP300,PRMT1,0.994
EP300,RELA,0.999
EP300,STAT3,0.999
EP300,TP53,0.999
EPHX1,XRCC1,0.45
EPHX1,UGT1A1,0.446
EPHX1,GSTM1,0.985
EPHX1,TPMT,0.409
EPHX1,NQO1,0.793
EPHX1,GSTO2,0.928
EPHX1,GSTO1,0.938
EPHX1,MTHFR,0.623
EPHX1,ERCC2,0.447
EPHX1,GSTP1,0.989
EPS15,MDM2,0.498
EPS15,STAT3,0.504
EPS15,ZAP70,0.551
EPS15,MLLT10,0.438
EPS15,MET,0.584
EPS15,XIAP,0.405
EPS15,PICALM,0.946
ERCC1,PLK1,0.409
ERCC1,TERT,0.413
ERCC1,UGT1A1,0.418
ERCC1,MUTYH,0.427
ERCC1,PTEN,0.445
ERCC1,TOP2A,0.475
ERCC1,GSTM1,0.481
ERCC1,MTHFR,0.507
ERCC1,KRAS,0.53
ERCC1,MET,0.554
ERCC1,GSTP1,0.603
ERCC1,RAD50,0.639
ERCC1,TP53,0.696
ERCC1,NBN,0.7
ERCC1,TYMS,0.72
ERCC1,OGG1,0.781
ERCC1,SLX4IP,0.842
ERCC1,XRCC3,0.86
ERCC1,RAD51,0.908
ERCC1,FANCD2,0.951
ERCC1,XRCC4,0.962
ERCC1,LIG4,0.966
ERCC1,XRCC1,0.967
ERCC1,ERCC2,0.996
ERCC2,KRAS,0.417
ERCC2,SRSF1,0.504
ERCC2,XRCC1,0.985
ERCC2,TP53,0.804
ERCC2,FANCD2,0.795
ERCC2,OGG1,0.865
ERCC2,TERT,0.638
ERCC2,GSTM1,0.647
ERCC2,TYMS,0.482
ERCC2,MTHFR,0.599
ERCC2,XRCC4,0.573
ERCC2,LIG4,0.606
ERCC2,MUTYH,0.606
ERCC2,GSTP1,0.622
ERCC2,RAD51,0.879
ERCC2,XRCC3,0.897
ETV6,FLT3,0.798
ETV6,KRAS,0.803
ETV6,TCF3,0.583
ETV6,MECOM,0.685
ETV6,TP53,0.597
ETV6,KIT,0.585
ETV6,STAT5B,0.709
ETV6,TLX3,0.482
ETV6,NPM1,0.751
ETV6,RUNX1,0.983
ETV6,IL7R,0.438
ETV6,MLLT10,0.526
ETV6,NUP98,0.669
ETV6,EZH2,0.613
ETV6,IKZF1,0.838
ETV6,IDH2,0.6
ETV6,FOXO3,0.438
ETV6,STAT5A,0.706
ETV6,GATA2,0.687
ETV6,PAX5,0.72
ETV6,NRAS,0.838
ETV6,PTEN,0.453
ETV6,WT1,0.612
ETV6,P2RY8,0.651
ETV6,JAK2,0.811
ETV6,FBXW7,0.435
ETV6,JAK1,0.477
ETV6,MME,0.479
ETV6,JAK3,0.514
ETV6,NOTCH1,0.531
ETV6,PTPN11,0.577
ETV6,LOC102723407,0.581
ETV6,IDH1,0.709
ETV6,KMT2A,0.732
ETV6,PBX1,0.796
EZH2,MMP2,0.443
EZH2,NFKB1,0.695
EZH2,FLT3,0.631
EZH2,SOX4,0.874
EZH2,KRAS,0.673
EZH2,MDM2,0.945
EZH2,YY1,0.998
EZH2,TIMP2,0.434
EZH2,HDAC4,0.739
EZH2,STAT3,0.973
EZH2,MECOM,0.675
EZH2,RB1,0.861
EZH2,TP53,0.899
EZH2,KIT,0.59
EZH2,STAT5B,0.901
EZH2,GFI1,0.647
EZH2,NPM1,0.661
EZH2,PLK1,0.508
EZH2,RUNX1,0.703
EZH2,OGG1,0.423
EZH2,TERT,0.555
EZH2,TYMS,0.532
EZH2,NUP98,0.417
EZH2,MET,0.472
EZH2,NSD1,0.411
EZH2,KMT2A,0.438
EZH2,LOC102723407,0.449
EZH2,FOXO3,0.45
EZH2,JAK1,0.486
EZH2,PROM1,0.489
EZH2,TNF,0.489
EZH2,PAX5,0.494
EZH2,MTOR,0.494
EZH2,IRF4,0.503
EZH2,KMT5A,0.519
EZH2,JAK3,0.548
EZH2,TRDMT1,0.55
EZH2,IKZF1,0.552
EZH2,RAD51,0.566
EZH2,PTPN11,0.58
EZH2,PRAME,0.607
EZH2,GATA2,0.608
EZH2,TOP2A,0.626
EZH2,PBX1,0.64
EZH2,NOTCH1,0.655
EZH2,IL6,0.666
EZH2,MMP9,0.673
EZH2,FBXW7,0.691
EZH2,IDH2,0.708
EZH2,IDH1,0.721
EZH2,PTEN,0.76
EZH2,TET1,0.764
EZH2,JAK2,0.768
EZH2,PRMT1,0.781
EZH2,NRAS,0.811
EZH2,WT1,0.824
EZH2,STAT5A,0.896
EZH2,RELA,0.915
FANCD2,MDM2,0.414
FANCD2,XRCC1,0.663
FANCD2,NBN,0.858
FANCD2,TP53,0.632
FANCD2,RUNX1,0.41
FANCD2,RAD50,0.42
FANCD2,SLX4IP,0.431
FANCD2,NOTCH1,0.498
FANCD2,PLK1,0.538
FANCD2,TOP2A,0.551
FANCD2,XRCC4,0.765
FANCD2,LIG4,0.838
FANCD2,FOXO3,0.9
FANCD2,XRCC3,0.926
FANCD2,RAD51,0.998
FAS,TNFRSF1A,0.999
FAS,NFKB1,0.502
FAS,IL2,0.669
FAS,MDM2,0.428
FAS,RIPK1,0.966
FAS,STAT3,0.49
FAS,ZAP70,0.415
FAS,TP53,0.877
FAS,THY1,0.481
FAS,IL15,0.612
FAS,IL7R,0.703
FAS,IL3RA,0.421
FAS,PAX5,0.547
FAS,TLR9,0.416
FAS,FASLG,0.999
FAS,XIAP,0.695
FAS,IRF4,0.417
FAS,JAK2,0.422
FAS,HLA-A,0.427
FAS,RELA,0.515
FAS,IL6,0.613
FAS,HLA-DPA1,0.423
FAS,TNF,0.997
FAS,IL10,0.59
FAS,IDO1,0.416
FAS,LOC102723407,0.404
FAS,NCAM1,0.542
FASLG,TNFRSF1A,0.998
FASLG,TIMP1,0.41
FASLG,MMP2,0.459
FASLG,MPO,0.404
FASLG,NFKB1,0.684
FASLG,IL2,0.824
FASLG,NR3C1,0.411
FASLG,MDM2,0.413
FASLG,RIPK1,0.799
FASLG,STAT3,0.893
FASLG,ZAP70,0.477
FASLG,TP53,0.718
FASLG,THY1,0.4
FASLG,STAT5B,0.407
FASLG,IL15,0.628
FASLG,IL7R,0.525
FASLG,KLRD1,0.855
FASLG,FOXO3,0.934
FASLG,STAT5A,0.402
FASLG,TNFSF13,0.452
FASLG,HMGB1,0.428
FASLG,TLR9,0.481
FASLG,MTOR,0.419
FASLG,PTGS2,0.447
FASLG,IRF4,0.405
FASLG,RELA,0.409
FASLG,HLA-A,0.418
FASLG,JAK2,0.441
FASLG,PTEN,0.512
FASLG,MMP9,0.562
FASLG,NCAM1,0.59
FASLG,IL6,0.697
FASLG,XIAP,0.738
FASLG,IDO1,0.775
FASLG,IL10,0.885
FASLG,TNF,0.984
FBXW7,NFKB1,0.511
FBXW7,NR3C1,0.419
FBXW7,FLT3,0.58
FBXW7,KRAS,0.768
FBXW7,MDM2,0.688
FBXW7,YY1,0.427
FBXW7,HDAC4,0.441
FBXW7,STAT3,0.794
FBXW7,MECOM,0.404
FBXW7,TP53,0.96
FBXW7,KIT,0.636
FBXW7,GFI1,0.411
FBXW7,TLX3,0.452
FBXW7,NPM1,0.643
FBXW7,PLK1,0.721
FBXW7,RUNX1,0.621
FBXW7,IKZF1,0.458
FBXW7,IDH2,0.508
FBXW7,FOXO3,0.427
FBXW7,GATA2,0.517
FBXW7,MTOR,0.921
FBXW7,NRAS,0.715
FBXW7,PTEN,0.884
FBXW7,WT1,0.442
FBXW7,JAK2,0.529
FBXW7,RELA,0.435
FBXW7,IDH1,0.571
FBXW7,PRMT1,0.533
FBXW7,TOP2A,0.633
FBXW7,XRCC4,0.601
FBXW7,JAK3,0.602
FBXW7,KMT2A,0.675
FBXW7,JAK1,0.581
FBXW7,PTPN11,0.759
FBXW7,NOTCH1,0.995
FLT1,TIMP1,0.445
FLT1,MMP2,0.731
FLT1,IL2,0.598
FLT1,FLT3,0.519
FLT1,KRAS,0.519
FLT1,VWF,0.695
FLT1,FLT4,0.92
FLT1,STAT3,0.734
FLT1,MECOM,0.445
FLT1,TP53,0.696
FLT1,S100A9,0.428
FLT1,THY1,0.431
FLT1,NCAM1,0.464
FLT1,PTGS2,0.469
FLT1,MTOR,0.48
FLT1,RELA,0.48
FLT1,NOTCH1,0.481
FLT1,IL10,0.483
FLT1,PTEN,0.501
FLT1,PROM1,0.505
FLT1,XIAP,0.514
FLT1,NOS3,0.603
FLT1,IL6,0.604
FLT1,TNF,0.61
FLT1,PTPN11,0.775
FLT1,MMP9,0.779
FLT3,MPO,0.567
FLT3,IL2,0.638
FLT3,NR3C1,0.501
FLT3,JAK2,0.426
FLT3,IRF4,0.43
FLT3,IL10,0.44
FLT3,MME,0.442
FLT3,LOC102723407,0.447
FLT3,NSD1,0.447
FLT3,IL15,0.449
FLT3,MDM2,0.449
FLT3,PBX1,0.449
FLT3,MECOM,0.453
FLT3,TNF,0.47
FLT3,MLLT10,0.479
FLT3,MTOR,0.479
FLT3,GFI1,0.481
FLT3,THY1,0.5
FLT3,MET,0.506
FLT3,TCF3,0.509
FLT3,TLX3,0.518
FLT3,NCAM1,0.523
FLT3,P2RY8,0.526
FLT3,MMP9,0.563
FLT3,HLA-A,0.582
FLT3,IL6,0.583
FLT3,NUP98,0.592
FLT3,NOTCH1,0.6
FLT3,PTEN,0.604
FLT3,PROM1,0.61
FLT3,IKZF1,0.652
FLT3,GATA2,0.654
FLT3,IL3RA,0.661
FLT3,KMT2A,0.663
FLT3,TLR9,0.685
FLT3,TP53,0.722
FLT3,PAX5,0.731
FLT3,WT1,0.766
FLT3,IDH2,0.797
FLT3,IDH1,0.814
FLT3,IL7R,0.826
FLT3,RUNX1,0.828
FLT3,KRAS,0.865
FLT3,PTPN11,0.889
FLT3,NRAS,0.9
FLT3,NPM1,0.943
FLT3,STAT5A,0.97
FLT3,STAT5B,0.97
FLT3,STAT3,0.971
FLT4,KRAS,0.442
FLT4,MDM2,0.442
FLT4,VWF,0.554
FLT4,MTOR,0.421
FLT4,PTEN,0.427
FLT4,NOTCH1,0.432
FLT4,NOS3,0.435
FLT4,STAT3,0.439
FLT4,IL6,0.441
FLT4,TP53,0.443
FLT4,MMP9,0.471
FLT4,MET,0.472
FLT4,TNF,0.476
FOXO3,NFKB1,0.711
FOXO3,NR3C1,0.686
FOXO3,KRAS,0.444
FOXO3,MDM2,0.995
FOXO3,YY1,0.409
FOXO3,HDAC4,0.463
FOXO3,STAT3,0.978
FOXO3,RB1,0.497
FOXO3,TP53,0.998
FOXO3,KIT,0.407
FOXO3,STAT5B,0.516
FOXO3,NOS3,0.413
FOXO3,PLK1,0.727
FOXO3,RUNX1,0.908
FOXO3,TERT,0.616
FOXO3,JAK2,0.452
FOXO3,MMP9,0.454
FOXO3,IL10,0.455
FOXO3,NOTCH1,0.466
FOXO3,STAT5A,0.47
FOXO3,IRF4,0.473
FOXO3,XIAP,0.482
FOXO3,IL6,0.581
FOXO3,TNF,0.59
FOXO3,RELA,0.677
FOXO3,PBX1,0.697
FOXO3,MTOR,0.747
FOXO3,PTEN,0.853
FOXO3,PRMT1,0.928
GAR1,PRMT1,0.651
GAR1,TERT,0.971
GATA2,MPO,0.567
GATA2,KRAS,0.664
GATA2,YY1,0.568
GATA2,TCF3,0.861
GATA2,STAT3,0.463
GATA2,MECOM,0.695
GATA2,TP53,0.626
GATA2,KIT,0.659
GATA2,STAT5B,0.446
GATA2,GFI1,0.924
GATA2,NPM1,0.596
GATA2,RUNX1,0.996
GATA2,TERT,0.456
GATA2,IKZF1,0.62
GATA2,IDH2,0.571
GATA2,STAT5A,0.475
GATA2,IL6,0.4
GATA2,JAK3,0.411
GATA2,PBX1,0.439
GATA2,PRMT1,0.47
GATA2,PAX5,0.513
GATA2,PTPN11,0.52
GATA2,NOTCH1,0.529
GATA2,JAK2,0.551
GATA2,IDH1,0.57
GATA2,NRAS,0.618
GATA2,WT1,0.624
GATA2,KMT2A,0.726
GFI1,TCF3,0.472
GFI1,TP53,0.576
GFI1,KIT,0.47
GFI1,PRMT1,0.402
GFI1,PAX5,0.409
GFI1,STAT5A,0.419
GFI1,NOTCH1,0.434
GFI1,RELA,0.436
GFI1,IL7R,0.455
GFI1,IRF4,0.504
GFI1,PBX1,0.574
GFI1,IKZF1,0.577
GFI1,RUNX1,0.87
GHRL,LEP,0.994
GHRL,TAC1,0.546
GHRL,LEPR,0.696
GHRL,IL10,0.439
GHRL,MTOR,0.44
GHRL,PAX4,0.548
GHRL,TNF,0.605
GHRL,IL6,0.648
GHRL,PYY,0.961
GSTM1,MPO,0.401
GSTM1,XRCC1,0.696
GSTM1,TP53,0.508
GSTM1,UGT1A1,0.594
GSTM1,OGG1,0.583
GSTM1,TNF,0.41
GSTM1,TPMT,0.5
GSTM1,XRCC3,0.581
GSTM1,MTHFR,0.691
GSTM1,NQO1,0.719
GSTM1,GSTP1,0.808
GSTM1,GSTO2,0.887
GSTM1,GSTO1,0.893
GSTO1,HSPB1,0.426
GSTO1,SRSF1,0.453
GSTO1,NQO1,0.412
GSTO1,GSTO2,0.802
GSTO1,MTHFR,0.545
GSTO1,GSTP1,0.915
GSTO2,SRSF1,0.449
GSTO2,MTHFR,0.428
GSTO2,GSTP1,0.927
GSTP1,XRCC1,0.666
GSTP1,STAT3,0.55
GSTP1,TP53,0.581
GSTP1,UGT1A1,0.586
GSTP1,OGG1,0.448
GSTP1,TPMT,0.501
GSTP1,TYMS,0.477
GSTP1,NQO1,0.728
GSTP1,PTGS2,0.508
GSTP1,PTEN,0.476
GSTP1,MTHFR,0.725
GSTP1,TNF,0.404
GSTP1,TOP2A,0.477
GSTP1,XRCC3,0.507
HDAC4,NFKB1,0.567
HDAC4,MDM2,0.52
HDAC4,YY1,0.947
HDAC4,MTOR,0.401
HDAC4,IKZF1,0.41
HDAC4,MECOM,0.428
HDAC4,TNF,0.434
HDAC4,PTEN,0.448
HDAC4,STAT3,0.449
HDAC4,PTGS2,0.462
HDAC4,NUP98,0.487
HDAC4,TERT,0.535
HDAC4,TP53,0.554
HDAC4,KMT2A,0.557
HDAC4,PRMT1,0.563
HDAC4,HMGB1,0.625
HDAC4,NOTCH1,0.683
HFE,UGT1A1,0.531
HFE,MTHFR,0.461
HFE,IL6,0.445
HK3,S100A8,0.439
HK3,S100A9,0.477
HLA-A,NFKB1,0.56
HLA-A,IL2,0.713
HLA-A,HSPB1,0.417
HLA-A,KRAS,0.479
HLA-A,STAT3,0.426
HLA-A,TP53,0.77
HLA-A,IL15,0.598
HLA-A,IL7R,0.449
HLA-A,KLRD1,0.952
HLA-A,TAP1,0.984
HLA-A,HLA-DRB1,0.942
HLA-A,SEPTIN4,0.631
HLA-A,PTGS2,0.465
HLA-A,NRAS,0.41
HLA-A,TAP2,0.963
HLA-A,WT1,0.724
HLA-A,RELA,0.411
HLA-A,IDO1,0.459
HLA-A,IL6,0.501
HLA-A,MME,0.502
HLA-A,PRAME,0.525
HLA-A,NCAM1,0.607
HLA-A,IL10,0.705
HLA-A,TNF,0.76
HLA-A,HLA-DPB1,0.942
HLA-A,HLA-DPA1,0.957
HLA-A,LOC102723407,0.958
HLA-DPA1,TIMP1,0.438
HLA-DPA1,VWF,0.479
HLA-DPA1,ZAP70,0.6
HLA-DPA1,HLA-DRB1,0.979
HLA-DPA1,IL6,0.526
HLA-DPA1,TNF,0.615
HLA-DPA1,PTPN11,0.683
HLA-DPA1,LOC102723407,0.916
HLA-DPA1,HLA-DPB1,0.999
HLA-DPB1,ZAP70,0.569
HLA-DPB1,HLA-DRB1,0.943
HLA-DPB1,MDK,0.489
HLA-DPB1,PTPN11,0.534
HLA-DPB1,LOC102723407,0.932
HLA-DRB1,MMP2,0.423
HLA-DRB1,IL2,0.546
HLA-DRB1,ZAP70,0.66
HLA-DRB1,IL7R,0.492
HLA-DRB1,HSPA1B,0.408
HLA-DRB1,LOC102723407,0.47
HLA-DRB1,WT1,0.519
HLA-DRB1,IL10,0.549
HLA-DRB1,PICALM,0.619
HLA-DRB1,IL6,0.675
HLA-DRB1,PTPN11,0.716
HLA-DRB1,TNF,0.842
HLF,MET,0.446
HLF,PBX1,0.499
HLF,RUNX1,0.546
HLF,TCF3,0.748
HMGB1,TNFRSF1A,0.639
HMGB1,MIF,0.487
HMGB1,MMP2,0.429
HMGB1,MPO,0.774
HMGB1,NFKB1,0.923
HMGB1,IL2,0.511
HMGB1,NR3C1,0.451
HMGB1,RIPK1,0.526
HMGB1,VWF,0.634
HMGB1,STAT3,0.58
HMGB1,TP53,0.997
HMGB1,NPM1,0.495
HMGB1,JAK2,0.404
HMGB1,HSPA1B,0.416
HMGB1,IDO1,0.432
HMGB1,MTOR,0.476
HMGB1,MMP9,0.593
HMGB1,S100A8,0.646
HMGB1,PTGS2,0.652
HMGB1,IL10,0.705
HMGB1,TLR6,0.709
HMGB1,RELA,0.72
HMGB1,THBD,0.749
HMGB1,TNF,0.753
HMGB1,S100A9,0.759
HMGB1,IL6,0.792
HMGB1,TLR9,0.997
HNRNPH1,SRSF1,0.986
HNRNPH1,TP53,0.611
HNRNPH1,NPM1,0.54
HNRNPH1,PRMT1,0.553
HNRNPH1,SET,0.591
HPRT1,NFKB1,0.501
HPRT1,IL2,0.55
HPRT1,STAT3,0.408
HPRT1,TP53,0.539
HPRT1,KIT,0.41
HPRT1,RAD51,0.402
HPRT1,IL10,0.61
HPRT1,TNF,0.628
HPRT1,IL6,0.64
HPRT1,TYMS,0.66
HPRT1,TPMT,0.952
HSPA1A,NR3C1,0.746
HSPA1A,HSPB1,0.977
HSPA1A,TP53,0.754
HSPA1A,TERT,0.469
HSPA1A,NUP98,0.454
HSPA1A,NQO1,0.566
HSPA1A,S100A9,0.483
HSPA1A,RPL5,0.426
HSPA1A,PTEN,0.459
HSPA1A,HSPA1B,0.994
HSPA1A,THBD,0.475
HSPA1A,TNF,0.696
HSPA1B,NFKB1,0.494
HSPA1B,NR3C1,0.935
HSPA1B,HSPB1,0.939
HSPA1B,STAT3,0.616
HSPA1B,TP53,0.971
HSPA1B,PLK1,0.419
HSPA1B,TERT,0.616
HSPA1B,NUP98,0.463
HSPA1B,NQO1,0.588
HSPA1B,S100A9,0.492
HSPA1B,RPL5,0.411
HSPA1B,XIAP,0.418
HSPA1B,PTEN,0.52
HSPA1B,IL10,0.423
HSPA1B,THBD,0.462
HSPA1B,RELA,0.509
HSPA1B,IL6,0.552
HSPA1B,TNF,0.773
HSPB1,MMP2,0.407
HSPB1,NFKB1,0.436
HSPB1,IGFBP2,0.485
HSPB1,PTEN,0.402
HSPB1,IL10,0.419
HSPB1,NPM1,0.42
HSPB1,IL6,0.542
HSPB1,XIAP,0.619
HSPB1,TNF,0.65
HSPB1,STAT3,0.797
HSPB1,TP53,0.955
IDH1,NFKB1,0.413
IDH1,KRAS,0.762
IDH1,MDM2,0.589
IDH1,STAT3,0.486
IDH1,TP53,0.845
IDH1,KIT,0.698
IDH1,NPM1,0.8
IDH1,RUNX1,0.72
IDH1,TERT,0.781
IDH1,IKZF1,0.435
IDH1,IDH2,0.961
IDH1,MTOR,0.492
IDH1,NRAS,0.777
IDH1,PTEN,0.841
IDH1,TET1,0.585
IDH1,MTHFR,0.45
IDH1,WT1,0.666
IDH1,JAK2,0.679
IDH1,TNF,0.408
IDH1,TOP2A,0.444
IDH1,JAK3,0.522
IDH1,KMT2A,0.541
IDH1,NOTCH1,0.584
IDH1,MTHFD1,0.606
IDH1,PROM1,0.617
IDH1,PTPN11,0.647
IDH2,KRAS,0.712
IDH2,MDM2,0.504
IDH2,STAT3,0.449
IDH2,TP53,0.783
IDH2,KIT,0.67
IDH2,NPM1,0.791
IDH2,RUNX1,0.72
IDH2,TERT,0.686
IDH2,IKZF1,0.446
IDH2,MMP9,0.406
IDH2,MTOR,0.448
IDH2,MTHFR,0.457
IDH2,KMT2A,0.521
IDH2,JAK3,0.524
IDH2,NOTCH1,0.547
IDH2,TET1,0.574
IDH2,PTPN11,0.625
IDH2,MTHFD1,0.649
IDH2,PTEN,0.657
IDH2,WT1,0.664
IDH2,JAK2,0.671
IDH2,NRAS,0.768
IDO1,NFKB1,0.658
IDO1,IL2,0.808
IDO1,KRAS,0.411
IDO1,IL1RN,0.641
IDO1,STAT3,0.631
IDO1,TP53,0.479
IDO1,THY1,0.544
IDO1,KIT,0.402
IDO1,STAT5B,0.422
IDO1,IL15,0.659
IDO1,IL7R,0.466
IDO1,IL3RA,0.463
IDO1,KLRD1,0.434
IDO1,STAT5A,0.445
IDO1,TLR9,0.582
IDO1,MTOR,0.475
IDO1,PTGS2,0.621
IDO1,PTEN,0.434
IDO1,MMP9,0.508
IDO1,IRF4,0.417
IDO1,JAK2,0.5
IDO1,IL6,0.791
IDO1,TNF,0.758
IDO1,IL10,0.857
IDO1,JAK1,0.455
IDO1,NCAM1,0.456
IDO1,PTPN11,0.619
IGFBP2,TIMP1,0.493
IGFBP2,PTEN,0.437
IGFBP2,TP53,0.622
IGFBP2,IL6,0.646
IGFBP2,LEP,0.678
IKZF1,NFKB1,0.464
IKZF1,IL2,0.646
IKZF1,KRAS,0.501
IKZF1,TCF3,0.708
IKZF1,STAT3,0.456
IKZF1,ZAP70,0.508
IKZF1,TP53,0.566
IKZF1,KIT,0.526
IKZF1,STAT5B,0.546
IKZF1,TLX3,0.589
IKZF1,NPM1,0.436
IKZF1,RUNX1,0.941
IKZF1,IL7R,0.8
IKZF1,TNF,0.413
IKZF1,PTEN,0.432
IKZF1,JAK1,0.472
IKZF1,PTPN11,0.5
IKZF1,NRAS,0.55
IKZF1,STAT5A,0.572
IKZF1,JAK3,0.573
IKZF1,PBX1,0.582
IKZF1,IL10,0.603
IKZF1,JAK2,0.619
IKZF1,NOTCH1,0.628
IKZF1,KMT2A,0.63
IKZF1,LOC102723407,0.737
IKZF1,IRF4,0.745
IKZF1,P2RY8,0.815
IKZF1,PAX5,0.954
IL10,TNFRSF1A,0.968
IL10,MIF,0.659
IL10,TIMP1,0.954
IL10,MMP2,0.761
IL10,MPO,0.771
IL10,NFKB1,0.877
IL10,IL2,0.964
IL10,NR3C1,0.635
IL10,KRAS,0.459
IL10,IL1RN,0.923
IL10,VWF,0.517
IL10,YY1,0.453
IL10,TIMP2,0.596
IL10,STAT3,0.968
IL10,ZAP70,0.521
IL10,TP53,0.756
IL10,THY1,0.623
IL10,KIT,0.541
IL10,STAT5B,0.753
IL10,MERTK,0.527
IL10,IL15,0.914
IL10,NOS3,0.701
IL10,RUNX1,0.579
IL10,IL7R,0.919
IL10,LEP,0.806
IL10,NQO1,0.401
IL10,TAC1,0.512
IL10,IL3RA,0.824
IL10,LEPR,0.784
IL10,KLRD1,0.558
IL10,STAT5A,0.756
IL10,TNFSF13,0.572
IL10,TLR9,0.868
IL10,MTOR,0.74
IL10,PTGS2,0.789
IL10,S100A8,0.47
IL10,S100A9,0.417
IL10,PTEN,0.717
IL10,MMP9,0.881
IL10,THBD,0.546
IL10,IRF4,0.755
IL10,JAK2,0.838
IL10,RELA,0.701
IL10,IL6,0.997
IL10,TLR6,0.754
IL10,TNF,0.992
IL10,PROM1,0.416
IL10,MME,0.418
IL10,NOTCH1,0.437
IL10,LOC102723407,0.46
IL10,JAK3,0.566
IL10,PTPN11,0.642
IL10,NCAM1,0.702
IL10,JAK1,0.976
IL15,TNFRSF1A,0.71
IL15,MIF,0.415
IL15,NFKB1,0.519
IL15,IL2,0.958
IL15,IL1RN,0.514
IL15,STAT3,0.807
IL15,ZAP70,0.477
IL15,KIT,0.499
IL15,STAT5B,0.852
IL15,MTOR,0.416
IL15,PTGS2,0.435
IL15,IRF4,0.438
IL15,LEP,0.447
IL15,MMP9,0.479
IL15,TLR9,0.57
IL15,JAK2,0.618
IL15,LEPR,0.711
IL15,KLRD1,0.806
IL15,IL3RA,0.824
IL15,NCAM1,0.841
IL15,STAT5A,0.849
IL15,IL6,0.884
IL15,TNF,0.885
IL15,JAK1,0.952
IL15,IL7R,0.985
IL15,JAK3,0.996
IL1RN,TNFRSF1A,0.593
IL1RN,TIMP1,0.439
IL1RN,MPO,0.408
IL1RN,NFKB1,0.623
IL1RN,IL2,0.573
IL1RN,JAK2,0.417
IL1RN,LEP,0.419
IL1RN,IL7R,0.456
IL1RN,S100A9,0.496
IL1RN,RELA,0.534
IL1RN,S100A8,0.55
IL1RN,PTGS2,0.574
IL1RN,MMP9,0.575
IL1RN,STAT3,0.701
IL1RN,TNF,0.844
IL1RN,IL6,0.925
IL2,TNFRSF1A,0.74
IL2,MIF,0.49
IL2,TIMP1,0.487
IL2,MMP2,0.472
IL2,MPO,0.514
IL2,NFKB1,0.804
IL2,TAC1,0.407
IL2,TLR6,0.411
IL2,THBD,0.411
IL2,NOS3,0.413
IL2,WT1,0.443
IL2,PTPN11,0.48
IL2,PTEN,0.515
IL2,KIT,0.571
IL2,LEP,0.573
IL2,MMP9,0.601
IL2,NRAS,0.602
IL2,PTGS2,0.607
IL2,MTOR,0.612
IL2,NR3C1,0.622
IL2,THY1,0.625
IL2,MDM2,0.675
IL2,KLRD1,0.68
IL2,LEPR,0.74
IL2,TP53,0.741
IL2,KRAS,0.759
IL2,TLR9,0.777
IL2,ZAP70,0.794
IL2,IRF4,0.821
